# dataset_dir	filename
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221738_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221738_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221738_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221739_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221739_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221739_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221740_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221740_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_221740_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_pos0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_pos1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_pos2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_pos3
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222825_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_pos0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_pos1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_pos2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_pos3
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222826_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_pos0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_pos1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_pos2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_pos3
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_neg0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_neg1
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222827_neg2
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222851_pos0
outputs/datasets/6f_labeled_1024x640_roi	frame_20260606_222851_pos1
